"Passengers (All Carriers - Ontario, CA: Ontario International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2017,6,"182,043","6,713","188,756"
2017,7,"179,463","8,265","187,728"
2017,8,"184,823","5,033","189,856"
2017,9,"177,732","4,467","182,199"
2017,10,"196,189","4,783","200,972"
2017,11,"200,873","4,904","205,777"
2017,12,"192,901","9,112","202,013"
2017,TOTAL,"2,174,693","68,856","2,243,549"
2018,1,"178,682","5,328","184,010"
2018,2,"170,605","3,154","173,759"
2018,3,"198,712","5,399","204,111"
2018,4,"197,764","8,368","206,132"
2018,5,"205,071","9,660","214,731"
2018,6,"203,328","11,166","214,494"
2018,7,"204,348","9,275","213,623"
2018,8,"210,185","8,050","218,235"
2018,9,"197,525","7,759","205,284"
2018,10,"211,488","15,631","227,119"
2018,11,"212,202","10,305","222,507"
2018,12,"201,266","10,471","211,737"
2018,TOTAL,"2,391,176","104,566","2,495,742"
2019,1,"180,780",,
2019,2,"166,330",,
2019,3,"203,212",,
2019,TOTAL,"550,322",0,0
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
